CD Score	LND Score	Neighbors	Word
0.1152269282056054	0.0504773840238711	7	beautiful
0.1154181892854828	0.0183764309791275	7	look
0.1154186994729756	0.013462737700711	4	does
0.1162914280459879	0.0109875796397985	6	looked
0.1185357727329835	0.0178276268457145	8	school
0.1185731857528371	0.0037716555769896	4	lose
0.1210589203416313	0.0630806321132279	4	hear
0.1227335879091	0.0014770673552275	5	english
0.1300008656558	0.0021735638860734	4	player
0.1312614427760634	0.0075460917652184	5	tv
0.1314163903152558	0.0504497240738083	5	some
0.132984789074851	0.0015082967887557	7	children
0.133518695813117	0.0681522796343281	7	who
0.1365239549564799	0.0110325314325654	7	game
0.1367032129145901	0.0115119404475518	5	find
0.1394224639687943	0.0170605166314518	7	morning
0.1426382947056276	0.0088049094570726	6	its
0.1458998011548122	0.0081187334285348	5	at
0.1474329113684351	0.0046434465282978	5	wonderful
0.1517366079133434	0.0087508065073554	5	friday
0.154663406718769	0.000103599616956	4	decision
0.1552687971653946	0.0271508020618496	7	deutschland
0.1583836075076344	5.656176162882609e-06	2	least
0.1587047126652899	0.0088721370972433	6	kids
0.1632703075433541	0.0166027600778335	5	teams
0.1695792670925089	0.0148934612966374	6	population
0.1699974351947217	0.0174135987571979	6	option
0.1708347233411761	0.015521813485999	6	playoffs
0.1725007657785791	0.0493582160653591	7	brought
0.1738578335524586	0.0025777449529899	6	apartment
0.1743499547387342	0.020484918063145	5	congratulations
0.1747371645836772	0.006631570874641	6	process
0.1747717561647723	0.0309867036218447	7	idea
0.1776395192104926	0.0048124325739803	5	settings
0.1787045745951656	0.0047273400265585	7	philippians
0.1787770672249465	0.0051528297594833	4	oder
0.1802146995466552	0.0016151565560811	5	opinions
0.1804650013558638	0.08512391890902	4	color
0.1808195949519615	0.0289006677988872	8	tylenol
0.1810961950022108	0.0050433189584161	5	ways
0.1825731252097867	0.0157696372169509	6	loss
0.1836138786250331	0.0090276651257569	6	ensure
0.1887860286343327	0.026221613817403	8	das
0.1899974803024294	0.0035278476032413	5	training
0.19045254890788	0.0133925930895207	5	refreshments
0.1929105871068338	0.0014657365126906	6	statement
0.1939124712997237	0.0116266580058486	7	deductible
0.1957027422072182	0.0030201132542196	5	families
0.1980833673602716	0.0182216490790864	7	signed
0.1984920770281713	0.0026835145601695	4	realise
0.1987148170963281	0.0074739681221495	7	nog
0.2014413841835816	0.0340969528783612	8	position
0.204890209338534	0.0510243874122141	5	scene
0.2052898677958902	0.0024743173956826	4	red
0.2082863182065144	0.0035827157784921	6	ball
0.208966357451754	0.0042567955899858	4	gooey
0.2097736146473683	0.0019022759108391	4	everyday
0.2105335996963897	0.0289974111888191	7	profit
0.2118355790690909	0.0329636473847234	7	c
0.2123272359278573	0.0087517717304143	6	built
0.2132674713798852	0.020614305001438	6	skin
0.2142215753069655	0.0189987802180141	8	picked
0.2151438827931489	0.0172755860298129	5	community
0.2154260447977335	0.0028297162623108	5	asparagus
0.2164800595025616	0.0338159965258264	7	trouble
0.2166702396468739	0.0002727057499432	8	holiday
0.2167243616831184	0.0067970712523797	7	reasonable
0.2167292825367877	0.0023644112376631	5	art
0.2179253206052418	0.0055023276521265	3	talks
0.218036459240587	0.0151543229751541	7	driving
0.218282124033361	0.0027484676270101	5	tortilla
0.2185552493853911	0.0211438571998627	6	debate
0.2186771088595649	0.013900507912403	6	impossible
0.2193375126184201	0.0035745616883772	5	beginning
0.220202705867341	0.0030568282989059	8	current
0.2240550120427032	0.006922656489453	5	outcome
0.2246657000734452	0.0273113377674029	7	groceries
0.2249026761486943	0.004724649829831	5	performance
0.2251251667588922	0.0067577188311843	7	adaptor
0.2255628085422318	0.0028920500111984	7	tweeting
0.2259444912245057	0.0096359871438456	5	transaction
0.2269741488164024	0.0143646384037715	7	windows
0.2282691750042096	0.0041720723531323	5	poorest
0.2308492774125702	0.033307031284594	6	albums
0.2311105138128367	0.0002986944070787	8	attempt
0.2317450628007297	0.027004153720106	7	passengers
0.2318303594462778	0.0184560070106655	8	stockings
0.2330627162261109	0.0003183186918598	4	exists
0.2331183083162865	0.0092929215744396	4	configured
0.2331462080937723	0.0478069061155763	5	tweeted
0.2332711675338132	0.0499404964680417	4	speaks
0.2340080506953141	0.0650469660140542	5	top
0.2343251638023198	0.0023882888193913	5	undergrad
0.2350916129261369	0.0152001639279433	4	infringe
0.2353201350603564	0.0069223169464904	7	shocked
0.2355307285020221	0.0032457763870485	6	survive
0.2358523578790509	0.0033285870415677	5	shipped
0.2361816945525988	0.0095970191621664	6	golf
0.2363440842593155	0.0074816713373031	4	squirting
0.2394580711400226	0.0105794607656323	6	draped
0.2397651336586632	0.0056668609337037	6	install
0.2417039679820505	0.0183335703042065	4	cholesterol
0.2420457318727769	0.0317606301672875	6	yrs
0.2425573130517075	0.0045846432882712	7	environments
0.242739517483376	0.0114329533924465	6	dioxide
0.2432655944065023	0.0016891687786	5	body
0.2454297767486256	0.0046407481174612	6	databases
0.2454332328895893	0.1085744211590478	6	easiest
0.2455306711976119	0.0274989665301466	8	vitamins
0.2456829750684712	0.0094664669591687	5	bacteria
0.2458792032631769	0.0187716457625876	7	kickoff
0.2460370642473137	0.036389086587364	5	smells
0.2460984580094791	0.0512882522226155	5	corsair
0.2463518872465399	0.0250368969828674	5	rappers
0.2465331722197297	0.010739950959521	8	theaters
0.2465918715123558	0.0177143695997006	6	taller
0.2487054265656124	0.0902369474349967	7	teared
